,data,timestamp,participant,document,val,arou,eng
0,0.13,1645105536.65625,P11,D07,0,0,1
1,0.4,1645105536.671875,P11,D07,0,0,1
2,0.69,1645105536.6875,P11,D07,0,0,1
3,0.97,1645105536.703125,P11,D07,0,0,1
4,1.18,1645105536.71875,P11,D07,0,0,1
5,1.27,1645105536.734375,P11,D07,0,0,1
6,1.23,1645105536.75,P11,D07,0,0,1
7,1.07,1645105536.765625,P11,D07,0,0,1
8,0.84,1645105536.78125,P11,D07,0,0,1
9,0.59,1645105536.796875,P11,D07,0,0,1
10,0.32,1645105536.8125,P11,D07,0,0,1
11,0.06,1645105536.828125,P11,D07,0,0,1
12,-0.18,1645105536.84375,P11,D07,0,0,1
13,-0.35,1645105536.859375,P11,D07,0,0,1
14,-0.41,1645105536.875,P11,D07,0,0,1
15,-0.37,1645105536.890625,P11,D07,0,0,1
16,-0.27,1645105536.90625,P11,D07,0,0,1
17,-0.17,1645105536.921875,P11,D07,0,0,1
18,-0.15,1645105536.9375,P11,D07,0,0,1
19,-0.22,1645105536.953125,P11,D07,0,0,1
20,-0.33,1645105536.96875,P11,D07,0,0,1
21,-0.4,1645105536.984375,P11,D07,0,0,1
22,-0.4,1645105537.0,P11,D07,0,0,1
23,-0.33,1645105537.015625,P11,D07,0,0,1
24,-0.27,1645105537.03125,P11,D07,0,0,1
25,-0.27,1645105537.046875,P11,D07,0,0,1
26,-0.31,1645105537.0625,P11,D07,0,0,1
27,-0.33,1645105537.078125,P11,D07,0,0,1
28,-0.25,1645105537.09375,P11,D07,0,0,1
29,-0.04,1645105537.109375,P11,D07,0,0,1
30,0.28,1645105537.125,P11,D07,0,0,1
31,0.61,1645105537.140625,P11,D07,0,0,1
32,0.85,1645105537.15625,P11,D07,0,0,1
33,0.99,1645105537.171875,P11,D07,0,0,1
34,1.04,1645105537.1875,P11,D07,0,0,1
35,1.05,1645105537.203125,P11,D07,0,0,1
36,1.04,1645105537.21875,P11,D07,0,0,1
37,0.99,1645105537.234375,P11,D07,0,0,1
38,0.89,1645105537.25,P11,D07,0,0,1
39,0.72,1645105537.265625,P11,D07,0,0,1
40,0.54,1645105537.28125,P11,D07,0,0,1
41,0.4,1645105537.296875,P11,D07,0,0,1
42,0.34,1645105537.3125,P11,D07,0,0,1
43,0.34,1645105537.328125,P11,D07,0,0,1
44,0.35,1645105537.34375,P11,D07,0,0,1
45,0.32,1645105537.359375,P11,D07,0,0,1
46,0.23,1645105537.375,P11,D07,0,0,1
47,0.11,1645105537.390625,P11,D07,0,0,1
48,0.02,1645105537.40625,P11,D07,0,0,1
49,-0.02,1645105537.421875,P11,D07,0,0,1
50,-0.03,1645105537.4375,P11,D07,0,0,1
51,-0.04,1645105537.453125,P11,D07,0,0,1
52,-0.05,1645105537.46875,P11,D07,0,0,1
53,-0.04,1645105537.484375,P11,D07,0,0,1
54,0.0,1645105537.5,P11,D07,0,0,1
55,0.05,1645105537.515625,P11,D07,0,0,1
56,0.05,1645105537.53125,P11,D07,0,0,1
57,-0.06,1645105537.546875,P11,D07,0,0,1
58,-0.31,1645105537.5625,P11,D07,0,0,1
59,-0.63,1645105537.578125,P11,D07,0,0,1
60,-0.93,1645105537.59375,P11,D07,0,0,1
61,-1.11,1645105537.609375,P11,D07,0,0,1
62,-1.14,1645105537.625,P11,D07,0,0,1
63,-1.02,1645105537.640625,P11,D07,0,0,1
64,-0.83,1645105537.65625,P11,D07,0,0,1
65,-0.59,1645105537.671875,P11,D07,0,0,1
66,-0.32,1645105537.6875,P11,D07,0,0,1
67,-0.02,1645105537.703125,P11,D07,0,0,1
