,acc_x,acc_y,acc_z,timestamp,participant,document,val,arou,eng
0,-19.0,-30.0,52.0,1645106334.9375,P11,D10,0,0,0
1,-20.0,-30.0,52.0,1645106334.96875,P11,D10,0,0,0
2,-20.0,-30.0,52.0,1645106335.0,P11,D10,0,0,0
3,-19.0,-29.0,53.0,1645106335.03125,P11,D10,0,0,0
4,-19.0,-30.0,52.0,1645106335.0625,P11,D10,0,0,0
5,-19.0,-30.0,53.0,1645106335.09375,P11,D10,0,0,0
6,-19.0,-30.0,53.0,1645106335.125,P11,D10,0,0,0
7,-19.0,-29.0,53.0,1645106335.15625,P11,D10,0,0,0
8,-19.0,-29.0,52.0,1645106335.1875,P11,D10,0,0,0
9,-19.0,-30.0,52.0,1645106335.21875,P11,D10,0,0,0
10,-19.0,-30.0,53.0,1645106335.25,P11,D10,0,0,0
11,-19.0,-30.0,53.0,1645106335.28125,P11,D10,0,0,0
12,-19.0,-30.0,52.0,1645106335.3125,P11,D10,0,0,0
13,-19.0,-29.0,53.0,1645106335.34375,P11,D10,0,0,0
14,-19.0,-30.0,53.0,1645106335.375,P11,D10,0,0,0
15,-19.0,-29.0,53.0,1645106335.40625,P11,D10,0,0,0
16,-19.0,-29.0,53.0,1645106335.4375,P11,D10,0,0,0
17,-19.0,-29.0,53.0,1645106335.46875,P11,D10,0,0,0
18,-19.0,-29.0,53.0,1645106335.5,P11,D10,0,0,0
19,-19.0,-29.0,53.0,1645106335.53125,P11,D10,0,0,0
20,-19.0,-29.0,53.0,1645106335.5625,P11,D10,0,0,0
21,-19.0,-29.0,53.0,1645106335.59375,P11,D10,0,0,0
22,-19.0,-29.0,53.0,1645106335.625,P11,D10,0,0,0
23,-19.0,-29.0,53.0,1645106335.65625,P11,D10,0,0,0
24,-19.0,-29.0,53.0,1645106335.6875,P11,D10,0,0,0
25,-19.0,-29.0,53.0,1645106335.71875,P11,D10,0,0,0
26,-19.0,-29.0,53.0,1645106335.75,P11,D10,0,0,0
27,-19.0,-29.0,52.0,1645106335.78125,P11,D10,0,0,0
28,-19.0,-29.0,53.0,1645106335.8125,P11,D10,0,0,0
29,-19.0,-29.0,53.0,1645106335.84375,P11,D10,0,0,0
30,-19.0,-29.0,53.0,1645106335.875,P11,D10,0,0,0
31,-19.0,-29.0,53.0,1645106335.90625,P11,D10,0,0,0
32,-19.0,-29.0,53.0,1645106335.9375,P11,D10,0,0,0
33,-19.0,-29.0,53.0,1645106335.96875,P11,D10,0,0,0
34,-19.0,-29.0,53.0,1645106336.0,P11,D10,0,0,0
35,-19.0,-29.0,53.0,1645106336.03125,P11,D10,0,0,0
36,-19.0,-29.0,53.0,1645106336.0625,P11,D10,0,0,0
37,-19.0,-29.0,53.0,1645106336.09375,P11,D10,0,0,0
38,-19.0,-29.0,53.0,1645106336.125,P11,D10,0,0,0
39,-19.0,-29.0,52.0,1645106336.15625,P11,D10,0,0,0
40,-19.0,-29.0,53.0,1645106336.1875,P11,D10,0,0,0
41,-19.0,-29.0,53.0,1645106336.21875,P11,D10,0,0,0
42,-19.0,-29.0,53.0,1645106336.25,P11,D10,0,0,0
43,-19.0,-29.0,53.0,1645106336.28125,P11,D10,0,0,0
44,-19.0,-29.0,53.0,1645106336.3125,P11,D10,0,0,0
45,-19.0,-29.0,52.0,1645106336.34375,P11,D10,0,0,0
46,-19.0,-29.0,53.0,1645106336.375,P11,D10,0,0,0
47,-19.0,-29.0,53.0,1645106336.40625,P11,D10,0,0,0
48,-19.0,-29.0,53.0,1645106336.4375,P11,D10,0,0,0
49,-19.0,-30.0,53.0,1645106336.46875,P11,D10,0,0,0
50,-19.0,-29.0,53.0,1645106336.5,P11,D10,0,0,0
51,-19.0,-29.0,53.0,1645106336.53125,P11,D10,0,0,0
52,-19.0,-29.0,53.0,1645106336.5625,P11,D10,0,0,0
53,-19.0,-29.0,53.0,1645106336.59375,P11,D10,0,0,0
54,-19.0,-29.0,53.0,1645106336.625,P11,D10,0,0,0
55,-19.0,-30.0,53.0,1645106336.65625,P11,D10,0,0,0
56,-19.0,-29.0,53.0,1645106336.6875,P11,D10,0,0,0
57,-19.0,-30.0,53.0,1645106336.71875,P11,D10,0,0,0
58,-19.0,-29.0,53.0,1645106336.75,P11,D10,0,0,0
59,-19.0,-29.0,53.0,1645106336.78125,P11,D10,0,0,0
60,-19.0,-30.0,53.0,1645106336.8125,P11,D10,0,0,0
61,-19.0,-29.0,53.0,1645106336.84375,P11,D10,0,0,0
62,-19.0,-29.0,53.0,1645106336.875,P11,D10,0,0,0
63,-19.0,-29.0,53.0,1645106336.90625,P11,D10,0,0,0
64,-19.0,-29.0,53.0,1645106336.9375,P11,D10,0,0,0
65,-19.0,-29.0,53.0,1645106336.96875,P11,D10,0,0,0
66,-19.0,-29.0,53.0,1645106337.0,P11,D10,0,0,0
67,-19.0,-29.0,53.0,1645106337.03125,P11,D10,0,0,0
68,-19.0,-29.0,53.0,1645106337.0625,P11,D10,0,0,0
69,-19.0,-29.0,53.0,1645106337.09375,P11,D10,0,0,0
70,-19.0,-29.0,53.0,1645106337.125,P11,D10,0,0,0
71,-19.0,-29.0,53.0,1645106337.15625,P11,D10,0,0,0
72,-19.0,-29.0,53.0,1645106337.1875,P11,D10,0,0,0
73,-19.0,-29.0,53.0,1645106337.21875,P11,D10,0,0,0
74,-19.0,-29.0,53.0,1645106337.25,P11,D10,0,0,0
75,-19.0,-30.0,53.0,1645106337.28125,P11,D10,0,0,0
76,-19.0,-29.0,53.0,1645106337.3125,P11,D10,0,0,0
77,-18.0,-29.0,53.0,1645106337.34375,P11,D10,0,0,0
78,-18.0,-29.0,53.0,1645106337.375,P11,D10,0,0,0
79,-19.0,-29.0,53.0,1645106337.40625,P11,D10,0,0,0
80,-19.0,-29.0,53.0,1645106337.4375,P11,D10,0,0,0
81,-19.0,-29.0,53.0,1645106337.46875,P11,D10,0,0,0
82,-19.0,-29.0,53.0,1645106337.5,P11,D10,0,0,0
83,-19.0,-29.0,53.0,1645106337.53125,P11,D10,0,0,0
84,-19.0,-29.0,53.0,1645106337.5625,P11,D10,0,0,0
85,-19.0,-29.0,53.0,1645106337.59375,P11,D10,0,0,0
86,-19.0,-29.0,53.0,1645106337.625,P11,D10,0,0,0
87,-18.0,-29.0,53.0,1645106337.65625,P11,D10,0,0,0
88,-19.0,-29.0,53.0,1645106337.6875,P11,D10,0,0,0
89,-19.0,-29.0,53.0,1645106337.71875,P11,D10,0,0,0
90,-20.0,-29.0,58.0,1645106337.75,P11,D10,0,0,0
91,-21.0,-29.0,60.0,1645106337.78125,P11,D10,0,0,0
92,-15.0,-30.0,60.0,1645106337.8125,P11,D10,0,0,0
93,-17.0,-30.0,58.0,1645106337.84375,P11,D10,0,0,0
94,-20.0,-32.0,61.0,1645106337.875,P11,D10,0,0,0
95,-22.0,-33.0,63.0,1645106337.90625,P11,D10,0,0,0
96,-23.0,-35.0,62.0,1645106337.9375,P11,D10,0,0,0
97,-31.0,-40.0,51.0,1645106337.96875,P11,D10,0,0,0
98,-34.0,-42.0,46.0,1645106338.0,P11,D10,0,0,0
99,-25.0,-47.0,41.0,1645106338.03125,P11,D10,0,0,0
100,-24.0,-48.0,36.0,1645106338.0625,P11,D10,0,0,0
101,-18.0,-50.0,31.0,1645106338.09375,P11,D10,0,0,0
102,-16.0,-50.0,27.0,1645106338.125,P11,D10,0,0,0
103,-23.0,-50.0,20.0,1645106338.15625,P11,D10,0,0,0
104,-25.0,-48.0,21.0,1645106338.1875,P11,D10,0,0,0
105,-32.0,-45.0,22.0,1645106338.21875,P11,D10,0,0,0
106,-34.0,-43.0,22.0,1645106338.25,P11,D10,0,0,0
107,-31.0,-43.0,22.0,1645106338.28125,P11,D10,0,0,0
108,-36.0,-42.0,17.0,1645106338.3125,P11,D10,0,0,0
109,-41.0,-41.0,14.0,1645106338.34375,P11,D10,0,0,0
110,-40.0,-41.0,14.0,1645106338.375,P11,D10,0,0,0
111,-41.0,-42.0,15.0,1645106338.40625,P11,D10,0,0,0
112,-37.0,-46.0,14.0,1645106338.4375,P11,D10,0,0,0
113,-36.0,-46.0,12.0,1645106338.46875,P11,D10,0,0,0
114,-49.0,-41.0,18.0,1645106338.5,P11,D10,0,0,0
115,-52.0,-40.0,18.0,1645106338.53125,P11,D10,0,0,0
116,-45.0,-44.0,13.0,1645106338.5625,P11,D10,0,0,0
117,-43.0,-47.0,8.0,1645106338.59375,P11,D10,0,0,0
118,-39.0,-50.0,6.0,1645106338.625,P11,D10,0,0,0
119,-43.0,-50.0,7.0,1645106338.65625,P11,D10,0,0,0
120,-43.0,-49.0,9.0,1645106338.6875,P11,D10,0,0,0
121,-42.0,-50.0,8.0,1645106338.71875,P11,D10,0,0,0
122,-40.0,-51.0,8.0,1645106338.75,P11,D10,0,0,0
123,-38.0,-51.0,5.0,1645106338.78125,P11,D10,0,0,0
124,-40.0,-50.0,5.0,1645106338.8125,P11,D10,0,0,0
125,-44.0,-49.0,4.0,1645106338.84375,P11,D10,0,0,0
126,-40.0,-50.0,2.0,1645106338.875,P11,D10,0,0,0
127,-43.0,-50.0,3.0,1645106338.90625,P11,D10,0,0,0
128,-42.0,-51.0,5.0,1645106338.9375,P11,D10,0,0,0
129,-42.0,-50.0,5.0,1645106338.96875,P11,D10,0,0,0
130,-40.0,-51.0,4.0,1645106339.0,P11,D10,0,0,0
131,-40.0,-50.0,6.0,1645106339.03125,P11,D10,0,0,0
132,-40.0,-49.0,7.0,1645106339.0625,P11,D10,0,0,0
133,-41.0,-49.0,6.0,1645106339.09375,P11,D10,0,0,0
134,-38.0,-49.0,9.0,1645106339.125,P11,D10,0,0,0
135,-39.0,-50.0,9.0,1645106339.15625,P11,D10,0,0,0
136,-40.0,-51.0,6.0,1645106339.1875,P11,D10,0,0,0
137,-41.0,-51.0,5.0,1645106339.21875,P11,D10,0,0,0
138,-42.0,-52.0,5.0,1645106339.25,P11,D10,0,0,0
139,-42.0,-52.0,3.0,1645106339.28125,P11,D10,0,0,0
140,-41.0,-50.0,5.0,1645106339.3125,P11,D10,0,0,0
141,-40.0,-50.0,5.0,1645106339.34375,P11,D10,0,0,0
142,-39.0,-49.0,5.0,1645106339.375,P11,D10,0,0,0
143,-40.0,-48.0,5.0,1645106339.40625,P11,D10,0,0,0
144,-39.0,-48.0,6.0,1645106339.4375,P11,D10,0,0,0
145,-41.0,-49.0,6.0,1645106339.46875,P11,D10,0,0,0
146,-41.0,-50.0,5.0,1645106339.5,P11,D10,0,0,0
147,-42.0,-51.0,3.0,1645106339.53125,P11,D10,0,0,0
148,-42.0,-51.0,4.0,1645106339.5625,P11,D10,0,0,0
149,-41.0,-51.0,5.0,1645106339.59375,P11,D10,0,0,0
150,-40.0,-50.0,5.0,1645106339.625,P11,D10,0,0,0
151,-41.0,-49.0,5.0,1645106339.65625,P11,D10,0,0,0
152,-40.0,-50.0,5.0,1645106339.6875,P11,D10,0,0,0
153,-40.0,-50.0,5.0,1645106339.71875,P11,D10,0,0,0
154,-41.0,-51.0,4.0,1645106339.75,P11,D10,0,0,0
155,-41.0,-51.0,4.0,1645106339.78125,P11,D10,0,0,0
156,-40.0,-52.0,3.0,1645106339.8125,P11,D10,0,0,0
157,-40.0,-51.0,4.0,1645106339.84375,P11,D10,0,0,0
158,-39.0,-50.0,5.0,1645106339.875,P11,D10,0,0,0
159,-39.0,-50.0,5.0,1645106339.90625,P11,D10,0,0,0
160,-39.0,-50.0,4.0,1645106339.9375,P11,D10,0,0,0
161,-39.0,-50.0,5.0,1645106339.96875,P11,D10,0,0,0
162,-39.0,-51.0,5.0,1645106340.0,P11,D10,0,0,0
163,-40.0,-51.0,5.0,1645106340.03125,P11,D10,0,0,0
164,-41.0,-51.0,4.0,1645106340.0625,P11,D10,0,0,0
165,-40.0,-51.0,3.0,1645106340.09375,P11,D10,0,0,0
166,-39.0,-51.0,3.0,1645106340.125,P11,D10,0,0,0
167,-39.0,-51.0,4.0,1645106340.15625,P11,D10,0,0,0
168,-39.0,-51.0,4.0,1645106340.1875,P11,D10,0,0,0
169,-39.0,-51.0,4.0,1645106340.21875,P11,D10,0,0,0
170,-39.0,-51.0,4.0,1645106340.25,P11,D10,0,0,0
171,-40.0,-51.0,4.0,1645106340.28125,P11,D10,0,0,0
172,-40.0,-51.0,4.0,1645106340.3125,P11,D10,0,0,0
173,-41.0,-51.0,4.0,1645106340.34375,P11,D10,0,0,0
174,-40.0,-51.0,4.0,1645106340.375,P11,D10,0,0,0
175,-39.0,-52.0,3.0,1645106340.40625,P11,D10,0,0,0
176,-40.0,-51.0,3.0,1645106340.4375,P11,D10,0,0,0
177,-39.0,-52.0,3.0,1645106340.46875,P11,D10,0,0,0
178,-40.0,-52.0,3.0,1645106340.5,P11,D10,0,0,0
179,-40.0,-52.0,3.0,1645106340.53125,P11,D10,0,0,0
180,-39.0,-51.0,3.0,1645106340.5625,P11,D10,0,0,0
181,-39.0,-51.0,3.0,1645106340.59375,P11,D10,0,0,0
182,-39.0,-50.0,4.0,1645106340.625,P11,D10,0,0,0
183,-39.0,-50.0,4.0,1645106340.65625,P11,D10,0,0,0
184,-39.0,-50.0,4.0,1645106340.6875,P11,D10,0,0,0
185,-39.0,-51.0,5.0,1645106340.71875,P11,D10,0,0,0
186,-39.0,-51.0,3.0,1645106340.75,P11,D10,0,0,0
187,-40.0,-52.0,2.0,1645106340.78125,P11,D10,0,0,0
188,-41.0,-52.0,2.0,1645106340.8125,P11,D10,0,0,0
189,-40.0,-51.0,3.0,1645106340.84375,P11,D10,0,0,0
190,-39.0,-52.0,3.0,1645106340.875,P11,D10,0,0,0
191,-40.0,-51.0,4.0,1645106340.90625,P11,D10,0,0,0
192,-39.0,-51.0,4.0,1645106340.9375,P11,D10,0,0,0
193,-39.0,-50.0,4.0,1645106340.96875,P11,D10,0,0,0
194,-39.0,-51.0,4.0,1645106341.0,P11,D10,0,0,0
195,-39.0,-51.0,3.0,1645106341.03125,P11,D10,0,0,0
196,-40.0,-51.0,3.0,1645106341.0625,P11,D10,0,0,0
197,-40.0,-51.0,3.0,1645106341.09375,P11,D10,0,0,0
198,-40.0,-51.0,2.0,1645106341.125,P11,D10,0,0,0
199,-38.0,-52.0,3.0,1645106341.15625,P11,D10,0,0,0
200,-41.0,-52.0,3.0,1645106341.1875,P11,D10,0,0,0
