,acc_x,acc_y,acc_z,timestamp,participant,document,val,arou,eng
0,-8.0,-4.0,62.0,1645447539.96875,P19,D02,1,1,1
1,-8.0,-4.0,62.0,1645447540.0,P19,D02,1,1,1
2,-8.0,-4.0,62.0,1645447540.03125,P19,D02,1,1,1
3,-8.0,-4.0,62.0,1645447540.0625,P19,D02,1,1,1
4,-9.0,-4.0,62.0,1645447540.09375,P19,D02,1,1,1
5,-8.0,-4.0,62.0,1645447540.125,P19,D02,1,1,1
6,-8.0,-4.0,62.0,1645447540.15625,P19,D02,1,1,1
7,-8.0,-4.0,62.0,1645447540.1875,P19,D02,1,1,1
8,-9.0,-4.0,62.0,1645447540.21875,P19,D02,1,1,1
9,-9.0,-4.0,62.0,1645447540.25,P19,D02,1,1,1
10,-9.0,-4.0,62.0,1645447540.28125,P19,D02,1,1,1
11,-9.0,-4.0,62.0,1645447540.3125,P19,D02,1,1,1
12,-9.0,-4.0,62.0,1645447540.34375,P19,D02,1,1,1
13,-8.0,-4.0,62.0,1645447540.375,P19,D02,1,1,1
14,-8.0,-4.0,62.0,1645447540.40625,P19,D02,1,1,1
15,-9.0,-4.0,62.0,1645447540.4375,P19,D02,1,1,1
16,-9.0,-4.0,62.0,1645447540.46875,P19,D02,1,1,1
17,-8.0,-4.0,62.0,1645447540.5,P19,D02,1,1,1
18,-9.0,-4.0,62.0,1645447540.53125,P19,D02,1,1,1
19,-9.0,-4.0,61.0,1645447540.5625,P19,D02,1,1,1
20,-8.0,-4.0,62.0,1645447540.59375,P19,D02,1,1,1
21,-8.0,-4.0,62.0,1645447540.625,P19,D02,1,1,1
22,-9.0,-4.0,62.0,1645447540.65625,P19,D02,1,1,1
23,-8.0,-4.0,62.0,1645447540.6875,P19,D02,1,1,1
24,-9.0,-4.0,62.0,1645447540.71875,P19,D02,1,1,1
25,-9.0,-4.0,62.0,1645447540.75,P19,D02,1,1,1
26,-8.0,-4.0,62.0,1645447540.78125,P19,D02,1,1,1
27,-9.0,-4.0,62.0,1645447540.8125,P19,D02,1,1,1
28,-8.0,-4.0,62.0,1645447540.84375,P19,D02,1,1,1
29,-8.0,-4.0,62.0,1645447540.875,P19,D02,1,1,1
30,-9.0,-4.0,62.0,1645447540.90625,P19,D02,1,1,1
31,-9.0,-4.0,62.0,1645447540.9375,P19,D02,1,1,1
