,acc_x,acc_y,acc_z,timestamp,participant,document,val,arou,eng
0,32.0,-14.0,51.0,1644832773.21875,P06,D11,1,0,1
1,32.0,-14.0,51.0,1644832773.25,P06,D11,1,0,1
2,32.0,-14.0,51.0,1644832773.28125,P06,D11,1,0,1
3,32.0,-14.0,51.0,1644832773.3125,P06,D11,1,0,1
4,32.0,-14.0,51.0,1644832773.34375,P06,D11,1,0,1
5,32.0,-14.0,51.0,1644832773.375,P06,D11,1,0,1
6,32.0,-14.0,51.0,1644832773.40625,P06,D11,1,0,1
7,32.0,-14.0,51.0,1644832773.4375,P06,D11,1,0,1
8,32.0,-14.0,51.0,1644832773.46875,P06,D11,1,0,1
9,33.0,-14.0,51.0,1644832773.5,P06,D11,1,0,1
10,33.0,-13.0,51.0,1644832773.53125,P06,D11,1,0,1
11,33.0,-14.0,51.0,1644832773.5625,P06,D11,1,0,1
12,33.0,-13.0,51.0,1644832773.59375,P06,D11,1,0,1
13,32.0,-14.0,51.0,1644832773.625,P06,D11,1,0,1
14,32.0,-14.0,51.0,1644832773.65625,P06,D11,1,0,1
15,33.0,-14.0,51.0,1644832773.6875,P06,D11,1,0,1
16,33.0,-14.0,51.0,1644832773.71875,P06,D11,1,0,1
17,33.0,-14.0,51.0,1644832773.75,P06,D11,1,0,1
18,32.0,-14.0,51.0,1644832773.78125,P06,D11,1,0,1
19,33.0,-14.0,51.0,1644832773.8125,P06,D11,1,0,1
20,32.0,-14.0,51.0,1644832773.84375,P06,D11,1,0,1
21,32.0,-14.0,51.0,1644832773.875,P06,D11,1,0,1
22,32.0,-14.0,51.0,1644832773.90625,P06,D11,1,0,1
23,32.0,-14.0,51.0,1644832773.9375,P06,D11,1,0,1
24,32.0,-14.0,51.0,1644832773.96875,P06,D11,1,0,1
25,32.0,-14.0,51.0,1644832774.0,P06,D11,1,0,1
26,32.0,-14.0,51.0,1644832774.03125,P06,D11,1,0,1
27,32.0,-14.0,51.0,1644832774.0625,P06,D11,1,0,1
28,32.0,-14.0,51.0,1644832774.09375,P06,D11,1,0,1
29,32.0,-14.0,51.0,1644832774.125,P06,D11,1,0,1
30,32.0,-14.0,51.0,1644832774.15625,P06,D11,1,0,1
31,32.0,-14.0,51.0,1644832774.1875,P06,D11,1,0,1
32,33.0,-14.0,51.0,1644832774.21875,P06,D11,1,0,1
33,32.0,-14.0,51.0,1644832774.25,P06,D11,1,0,1
34,33.0,-14.0,51.0,1644832774.28125,P06,D11,1,0,1
35,33.0,-14.0,51.0,1644832774.3125,P06,D11,1,0,1
36,32.0,-14.0,51.0,1644832774.34375,P06,D11,1,0,1
37,32.0,-14.0,51.0,1644832774.375,P06,D11,1,0,1
38,32.0,-14.0,51.0,1644832774.40625,P06,D11,1,0,1
39,32.0,-14.0,51.0,1644832774.4375,P06,D11,1,0,1
40,32.0,-14.0,51.0,1644832774.46875,P06,D11,1,0,1
41,33.0,-14.0,51.0,1644832774.5,P06,D11,1,0,1
42,33.0,-14.0,51.0,1644832774.53125,P06,D11,1,0,1
43,32.0,-14.0,51.0,1644832774.5625,P06,D11,1,0,1
44,32.0,-14.0,51.0,1644832774.59375,P06,D11,1,0,1
45,33.0,-14.0,51.0,1644832774.625,P06,D11,1,0,1
46,32.0,-14.0,51.0,1644832774.65625,P06,D11,1,0,1
47,32.0,-14.0,51.0,1644832774.6875,P06,D11,1,0,1
48,33.0,-14.0,51.0,1644832774.71875,P06,D11,1,0,1
49,32.0,-14.0,51.0,1644832774.75,P06,D11,1,0,1
50,32.0,-14.0,51.0,1644832774.78125,P06,D11,1,0,1
51,33.0,-14.0,51.0,1644832774.8125,P06,D11,1,0,1
52,32.0,-14.0,51.0,1644832774.84375,P06,D11,1,0,1
53,32.0,-14.0,51.0,1644832774.875,P06,D11,1,0,1
54,32.0,-14.0,51.0,1644832774.90625,P06,D11,1,0,1
55,32.0,-14.0,51.0,1644832774.9375,P06,D11,1,0,1
56,33.0,-14.0,51.0,1644832774.96875,P06,D11,1,0,1
57,33.0,-14.0,51.0,1644832775.0,P06,D11,1,0,1
58,32.0,-14.0,51.0,1644832775.03125,P06,D11,1,0,1
59,32.0,-14.0,51.0,1644832775.0625,P06,D11,1,0,1
60,32.0,-14.0,51.0,1644832775.09375,P06,D11,1,0,1
61,33.0,-14.0,51.0,1644832775.125,P06,D11,1,0,1
62,32.0,-14.0,51.0,1644832775.15625,P06,D11,1,0,1
63,32.0,-14.0,51.0,1644832775.1875,P06,D11,1,0,1
64,32.0,-14.0,51.0,1644832775.21875,P06,D11,1,0,1
65,32.0,-14.0,51.0,1644832775.25,P06,D11,1,0,1
66,32.0,-14.0,51.0,1644832775.28125,P06,D11,1,0,1
67,32.0,-14.0,51.0,1644832775.3125,P06,D11,1,0,1
68,32.0,-14.0,51.0,1644832775.34375,P06,D11,1,0,1
69,33.0,-14.0,51.0,1644832775.375,P06,D11,1,0,1
70,33.0,-14.0,51.0,1644832775.40625,P06,D11,1,0,1
71,32.0,-14.0,51.0,1644832775.4375,P06,D11,1,0,1
72,32.0,-14.0,51.0,1644832775.46875,P06,D11,1,0,1
73,33.0,-14.0,51.0,1644832775.5,P06,D11,1,0,1
74,32.0,-14.0,51.0,1644832775.53125,P06,D11,1,0,1
75,32.0,-14.0,51.0,1644832775.5625,P06,D11,1,0,1
76,32.0,-14.0,51.0,1644832775.59375,P06,D11,1,0,1
77,32.0,-14.0,51.0,1644832775.625,P06,D11,1,0,1
78,33.0,-14.0,51.0,1644832775.65625,P06,D11,1,0,1
79,32.0,-14.0,51.0,1644832775.6875,P06,D11,1,0,1
80,33.0,-14.0,51.0,1644832775.71875,P06,D11,1,0,1
81,32.0,-14.0,51.0,1644832775.75,P06,D11,1,0,1
82,32.0,-14.0,51.0,1644832775.78125,P06,D11,1,0,1
83,32.0,-14.0,51.0,1644832775.8125,P06,D11,1,0,1
84,32.0,-14.0,51.0,1644832775.84375,P06,D11,1,0,1
85,32.0,-14.0,51.0,1644832775.875,P06,D11,1,0,1
86,32.0,-14.0,51.0,1644832775.90625,P06,D11,1,0,1
87,32.0,-14.0,51.0,1644832775.9375,P06,D11,1,0,1
88,32.0,-14.0,51.0,1644832775.96875,P06,D11,1,0,1
89,32.0,-14.0,51.0,1644832776.0,P06,D11,1,0,1
90,32.0,-14.0,51.0,1644832776.03125,P06,D11,1,0,1
91,32.0,-14.0,51.0,1644832776.0625,P06,D11,1,0,1
92,32.0,-14.0,51.0,1644832776.09375,P06,D11,1,0,1
93,32.0,-14.0,51.0,1644832776.125,P06,D11,1,0,1
94,32.0,-14.0,51.0,1644832776.15625,P06,D11,1,0,1
95,32.0,-14.0,51.0,1644832776.1875,P06,D11,1,0,1
96,32.0,-14.0,51.0,1644832776.21875,P06,D11,1,0,1
97,32.0,-14.0,51.0,1644832776.25,P06,D11,1,0,1
98,32.0,-14.0,51.0,1644832776.28125,P06,D11,1,0,1
99,32.0,-14.0,51.0,1644832776.3125,P06,D11,1,0,1
100,32.0,-14.0,51.0,1644832776.34375,P06,D11,1,0,1
101,32.0,-14.0,51.0,1644832776.375,P06,D11,1,0,1
102,32.0,-14.0,51.0,1644832776.40625,P06,D11,1,0,1
103,33.0,-14.0,51.0,1644832776.4375,P06,D11,1,0,1
104,32.0,-14.0,51.0,1644832776.46875,P06,D11,1,0,1
105,32.0,-14.0,51.0,1644832776.5,P06,D11,1,0,1
106,32.0,-14.0,51.0,1644832776.53125,P06,D11,1,0,1
107,32.0,-14.0,51.0,1644832776.5625,P06,D11,1,0,1
108,32.0,-14.0,51.0,1644832776.59375,P06,D11,1,0,1
109,33.0,-14.0,51.0,1644832776.625,P06,D11,1,0,1
110,33.0,-14.0,51.0,1644832776.65625,P06,D11,1,0,1
111,32.0,-14.0,51.0,1644832776.6875,P06,D11,1,0,1
112,33.0,-13.0,51.0,1644832776.71875,P06,D11,1,0,1
113,33.0,-14.0,51.0,1644832776.75,P06,D11,1,0,1
114,32.0,-14.0,51.0,1644832776.78125,P06,D11,1,0,1
115,32.0,-13.0,51.0,1644832776.8125,P06,D11,1,0,1
116,32.0,-13.0,51.0,1644832776.84375,P06,D11,1,0,1
117,33.0,-13.0,51.0,1644832776.875,P06,D11,1,0,1
118,33.0,-13.0,51.0,1644832776.90625,P06,D11,1,0,1
119,32.0,-14.0,51.0,1644832776.9375,P06,D11,1,0,1
120,32.0,-14.0,51.0,1644832776.96875,P06,D11,1,0,1
121,32.0,-13.0,51.0,1644832777.0,P06,D11,1,0,1
122,32.0,-13.0,51.0,1644832777.03125,P06,D11,1,0,1
123,32.0,-14.0,51.0,1644832777.0625,P06,D11,1,0,1
124,33.0,-14.0,51.0,1644832777.09375,P06,D11,1,0,1
125,33.0,-14.0,51.0,1644832777.125,P06,D11,1,0,1
126,33.0,-14.0,51.0,1644832777.15625,P06,D11,1,0,1
127,33.0,-14.0,51.0,1644832777.1875,P06,D11,1,0,1
128,33.0,-15.0,51.0,1644832777.21875,P06,D11,1,0,1
129,32.0,-14.0,51.0,1644832777.25,P06,D11,1,0,1
130,32.0,-13.0,51.0,1644832777.28125,P06,D11,1,0,1
131,33.0,-13.0,51.0,1644832777.3125,P06,D11,1,0,1
132,33.0,-13.0,51.0,1644832777.34375,P06,D11,1,0,1
133,33.0,-13.0,51.0,1644832777.375,P06,D11,1,0,1
134,33.0,-13.0,51.0,1644832777.40625,P06,D11,1,0,1
135,33.0,-14.0,51.0,1644832777.4375,P06,D11,1,0,1
136,32.0,-14.0,51.0,1644832777.46875,P06,D11,1,0,1
137,33.0,-14.0,51.0,1644832777.5,P06,D11,1,0,1
138,33.0,-14.0,50.0,1644832777.53125,P06,D11,1,0,1
139,33.0,-13.0,51.0,1644832777.5625,P06,D11,1,0,1
