,data,timestamp,participant,document,val,arou,eng
0,-0.9,1645111212.890625,P12,D09,1,1,1
1,-0.7,1645111212.90625,P12,D09,1,1,1
2,-0.44,1645111212.921875,P12,D09,1,1,1
3,-0.19,1645111212.9375,P12,D09,1,1,1
4,-0.01,1645111212.953125,P12,D09,1,1,1
5,0.09,1645111212.96875,P12,D09,1,1,1
6,0.14,1645111212.984375,P12,D09,1,1,1
7,0.15,1645111213.0,P12,D09,1,1,1
8,0.12,1645111213.015625,P12,D09,1,1,1
9,0.05,1645111213.03125,P12,D09,1,1,1
10,-0.06,1645111213.046875,P12,D09,1,1,1
11,-0.16,1645111213.0625,P12,D09,1,1,1
12,-0.19,1645111213.078125,P12,D09,1,1,1
13,-0.15,1645111213.09375,P12,D09,1,1,1
14,-0.07,1645111213.109375,P12,D09,1,1,1
15,-0.02,1645111213.125,P12,D09,1,1,1
16,-0.07,1645111213.140625,P12,D09,1,1,1
17,-0.24,1645111213.15625,P12,D09,1,1,1
18,-0.44,1645111213.171875,P12,D09,1,1,1
19,-0.58,1645111213.1875,P12,D09,1,1,1
20,-0.55,1645111213.203125,P12,D09,1,1,1
21,-0.35,1645111213.21875,P12,D09,1,1,1
22,-0.06,1645111213.234375,P12,D09,1,1,1
23,0.22,1645111213.25,P12,D09,1,1,1
24,0.36,1645111213.265625,P12,D09,1,1,1
25,0.32,1645111213.28125,P12,D09,1,1,1
26,0.13,1645111213.296875,P12,D09,1,1,1
27,-0.1,1645111213.3125,P12,D09,1,1,1
28,-0.26,1645111213.328125,P12,D09,1,1,1
29,-0.27,1645111213.34375,P12,D09,1,1,1
30,-0.12,1645111213.359375,P12,D09,1,1,1
31,0.15,1645111213.375,P12,D09,1,1,1
32,0.39,1645111213.390625,P12,D09,1,1,1
33,0.5,1645111213.40625,P12,D09,1,1,1
34,0.4,1645111213.421875,P12,D09,1,1,1
35,0.11,1645111213.4375,P12,D09,1,1,1
36,-0.26,1645111213.453125,P12,D09,1,1,1
37,-0.58,1645111213.46875,P12,D09,1,1,1
38,-0.72,1645111213.484375,P12,D09,1,1,1
39,-0.63,1645111213.5,P12,D09,1,1,1
40,-0.34,1645111213.515625,P12,D09,1,1,1
41,0.06,1645111213.53125,P12,D09,1,1,1
42,0.46,1645111213.546875,P12,D09,1,1,1
43,0.79,1645111213.5625,P12,D09,1,1,1
44,0.97,1645111213.578125,P12,D09,1,1,1
45,0.99,1645111213.59375,P12,D09,1,1,1
46,0.85,1645111213.609375,P12,D09,1,1,1
47,0.6,1645111213.625,P12,D09,1,1,1
48,0.31,1645111213.640625,P12,D09,1,1,1
49,0.08,1645111213.65625,P12,D09,1,1,1
50,-0.04,1645111213.671875,P12,D09,1,1,1
51,0.0,1645111213.6875,P12,D09,1,1,1
52,0.17,1645111213.703125,P12,D09,1,1,1
53,0.36,1645111213.71875,P12,D09,1,1,1
54,0.51,1645111213.734375,P12,D09,1,1,1
55,0.56,1645111213.75,P12,D09,1,1,1
56,0.52,1645111213.765625,P12,D09,1,1,1
57,0.48,1645111213.78125,P12,D09,1,1,1
58,0.49,1645111213.796875,P12,D09,1,1,1
59,0.6,1645111213.8125,P12,D09,1,1,1
60,0.77,1645111213.828125,P12,D09,1,1,1
61,0.92,1645111213.84375,P12,D09,1,1,1
62,0.96,1645111213.859375,P12,D09,1,1,1
63,0.84,1645111213.875,P12,D09,1,1,1
64,0.57,1645111213.890625,P12,D09,1,1,1
65,0.21,1645111213.90625,P12,D09,1,1,1
66,-0.17,1645111213.921875,P12,D09,1,1,1
67,-0.47,1645111213.9375,P12,D09,1,1,1
68,-0.67,1645111213.953125,P12,D09,1,1,1
69,-0.74,1645111213.96875,P12,D09,1,1,1
70,-0.7,1645111213.984375,P12,D09,1,1,1
71,-0.54,1645111214.0,P12,D09,1,1,1
72,-0.3,1645111214.015625,P12,D09,1,1,1
73,-0.02,1645111214.03125,P12,D09,1,1,1
74,0.23,1645111214.046875,P12,D09,1,1,1
75,0.39,1645111214.0625,P12,D09,1,1,1
76,0.45,1645111214.078125,P12,D09,1,1,1
77,0.42,1645111214.09375,P12,D09,1,1,1
78,0.35,1645111214.109375,P12,D09,1,1,1
79,0.29,1645111214.125,P12,D09,1,1,1
80,0.24,1645111214.140625,P12,D09,1,1,1
81,0.15,1645111214.15625,P12,D09,1,1,1
82,-0.01,1645111214.171875,P12,D09,1,1,1
83,-0.22,1645111214.1875,P12,D09,1,1,1
84,-0.45,1645111214.203125,P12,D09,1,1,1
85,-0.58,1645111214.21875,P12,D09,1,1,1
86,-0.56,1645111214.234375,P12,D09,1,1,1
87,-0.4,1645111214.25,P12,D09,1,1,1
88,-0.17,1645111214.265625,P12,D09,1,1,1
89,-0.02,1645111214.28125,P12,D09,1,1,1
90,-0.04,1645111214.296875,P12,D09,1,1,1
91,-0.26,1645111214.3125,P12,D09,1,1,1
92,-0.58,1645111214.328125,P12,D09,1,1,1
93,-0.85,1645111214.34375,P12,D09,1,1,1
94,-0.92,1645111214.359375,P12,D09,1,1,1
95,-0.74,1645111214.375,P12,D09,1,1,1
96,-0.35,1645111214.390625,P12,D09,1,1,1
97,0.1,1645111214.40625,P12,D09,1,1,1
98,0.47,1645111214.421875,P12,D09,1,1,1
99,0.64,1645111214.4375,P12,D09,1,1,1
100,0.58,1645111214.453125,P12,D09,1,1,1
101,0.34,1645111214.46875,P12,D09,1,1,1
102,0.02,1645111214.484375,P12,D09,1,1,1
103,-0.32,1645111214.5,P12,D09,1,1,1
104,-0.61,1645111214.515625,P12,D09,1,1,1
105,-0.82,1645111214.53125,P12,D09,1,1,1
106,-0.94,1645111214.546875,P12,D09,1,1,1
107,-0.92,1645111214.5625,P12,D09,1,1,1
108,-0.75,1645111214.578125,P12,D09,1,1,1
109,-0.44,1645111214.59375,P12,D09,1,1,1
110,-0.05,1645111214.609375,P12,D09,1,1,1
111,0.32,1645111214.625,P12,D09,1,1,1
112,0.59,1645111214.640625,P12,D09,1,1,1
113,0.7,1645111214.65625,P12,D09,1,1,1
114,0.66,1645111214.671875,P12,D09,1,1,1
115,0.5,1645111214.6875,P12,D09,1,1,1
116,0.26,1645111214.703125,P12,D09,1,1,1
117,-0.01,1645111214.71875,P12,D09,1,1,1
118,-0.26,1645111214.734375,P12,D09,1,1,1
119,-0.47,1645111214.75,P12,D09,1,1,1
120,-0.59,1645111214.765625,P12,D09,1,1,1
121,-0.55,1645111214.78125,P12,D09,1,1,1
122,-0.37,1645111214.796875,P12,D09,1,1,1
123,-0.06,1645111214.8125,P12,D09,1,1,1
124,0.26,1645111214.828125,P12,D09,1,1,1
125,0.47,1645111214.84375,P12,D09,1,1,1
126,0.52,1645111214.859375,P12,D09,1,1,1
127,0.39,1645111214.875,P12,D09,1,1,1
128,0.18,1645111214.890625,P12,D09,1,1,1
129,-0.0,1645111214.90625,P12,D09,1,1,1
130,-0.07,1645111214.921875,P12,D09,1,1,1
131,-0.01,1645111214.9375,P12,D09,1,1,1
132,0.12,1645111214.953125,P12,D09,1,1,1
133,0.23,1645111214.96875,P12,D09,1,1,1
134,0.28,1645111214.984375,P12,D09,1,1,1
135,0.24,1645111215.0,P12,D09,1,1,1
136,0.14,1645111215.015625,P12,D09,1,1,1
137,0.01,1645111215.03125,P12,D09,1,1,1
138,-0.11,1645111215.046875,P12,D09,1,1,1
139,-0.17,1645111215.0625,P12,D09,1,1,1
140,-0.16,1645111215.078125,P12,D09,1,1,1
141,-0.08,1645111215.09375,P12,D09,1,1,1
142,0.06,1645111215.109375,P12,D09,1,1,1
143,0.23,1645111215.125,P12,D09,1,1,1
144,0.37,1645111215.140625,P12,D09,1,1,1
145,0.47,1645111215.15625,P12,D09,1,1,1
146,0.52,1645111215.171875,P12,D09,1,1,1
147,0.5,1645111215.1875,P12,D09,1,1,1
148,0.44,1645111215.203125,P12,D09,1,1,1
149,0.33,1645111215.21875,P12,D09,1,1,1
150,0.19,1645111215.234375,P12,D09,1,1,1
151,0.04,1645111215.25,P12,D09,1,1,1
