,data,timestamp,participant,document,val,arou,eng
0,122.05,1644591402.0,P04,D03,1,1,1
1,122.13,1644591403.0,P04,D03,1,1,1
2,122.28,1644591404.0,P04,D03,1,1,1
3,122.4,1644591405.0,P04,D03,1,1,1
4,122.55,1644591406.0,P04,D03,1,1,1
5,122.63,1644591407.0,P04,D03,1,1,1
6,122.78,1644591408.0,P04,D03,1,1,1
7,122.83,1644591409.0,P04,D03,1,1,1
8,122.87,1644591410.0,P04,D03,1,1,1
9,122.83,1644591411.0,P04,D03,1,1,1
10,122.77,1644591412.0,P04,D03,1,1,1
11,122.33,1644591413.0,P04,D03,1,1,1
12,121.82,1644591414.0,P04,D03,1,1,1
13,121.3,1644591415.0,P04,D03,1,1,1
14,120.8,1644591416.0,P04,D03,1,1,1
15,120.35,1644591417.0,P04,D03,1,1,1
16,119.95,1644591418.0,P04,D03,1,1,1
17,119.53,1644591419.0,P04,D03,1,1,1
18,119.22,1644591420.0,P04,D03,1,1,1
19,118.93,1644591421.0,P04,D03,1,1,1
20,118.63,1644591422.0,P04,D03,1,1,1
21,118.4,1644591423.0,P04,D03,1,1,1
22,118.18,1644591424.0,P04,D03,1,1,1
23,117.93,1644591425.0,P04,D03,1,1,1
24,117.82,1644591426.0,P04,D03,1,1,1
25,117.7,1644591427.0,P04,D03,1,1,1
26,117.6,1644591428.0,P04,D03,1,1,1
27,117.45,1644591429.0,P04,D03,1,1,1
28,117.25,1644591430.0,P04,D03,1,1,1
29,117.0,1644591431.0,P04,D03,1,1,1
30,116.67,1644591432.0,P04,D03,1,1,1
31,116.32,1644591433.0,P04,D03,1,1,1
32,116.0,1644591434.0,P04,D03,1,1,1
33,115.62,1644591435.0,P04,D03,1,1,1
34,115.23,1644591436.0,P04,D03,1,1,1
35,114.65,1644591437.0,P04,D03,1,1,1
36,114.07,1644591438.0,P04,D03,1,1,1
37,113.55,1644591439.0,P04,D03,1,1,1
38,113.02,1644591440.0,P04,D03,1,1,1
39,112.47,1644591441.0,P04,D03,1,1,1
40,111.97,1644591442.0,P04,D03,1,1,1
41,111.52,1644591443.0,P04,D03,1,1,1
42,111.07,1644591444.0,P04,D03,1,1,1
43,110.63,1644591445.0,P04,D03,1,1,1
44,110.2,1644591446.0,P04,D03,1,1,1
45,109.75,1644591447.0,P04,D03,1,1,1
46,109.3,1644591448.0,P04,D03,1,1,1
47,108.87,1644591449.0,P04,D03,1,1,1
48,108.42,1644591450.0,P04,D03,1,1,1
49,108.0,1644591451.0,P04,D03,1,1,1
50,107.53,1644591452.0,P04,D03,1,1,1
51,106.95,1644591453.0,P04,D03,1,1,1
52,106.52,1644591454.0,P04,D03,1,1,1
53,106.1,1644591455.0,P04,D03,1,1,1
54,105.65,1644591456.0,P04,D03,1,1,1
55,105.22,1644591457.0,P04,D03,1,1,1
56,104.75,1644591458.0,P04,D03,1,1,1
57,104.28,1644591459.0,P04,D03,1,1,1
58,103.85,1644591460.0,P04,D03,1,1,1
59,103.4,1644591461.0,P04,D03,1,1,1
60,102.95,1644591462.0,P04,D03,1,1,1
61,102.48,1644591463.0,P04,D03,1,1,1
62,102.0,1644591464.0,P04,D03,1,1,1
63,101.52,1644591465.0,P04,D03,1,1,1
